age,height_cm,weight_kg,nationality,club,wage_eur,player_positions,pace,shooting,passing,dribbling,defending,physic,average_skill,average_attacking,average_movement,average_power,average_mentality,average_defending,average_goalkeeping,short_name,long_name
32,170,72,Argentina,Inter Miami,565000,"RW, CF, ST",87.0,92.0,92.0,96.0,39.0,66.0,94.4,86.6,91.6,78.2,74.5,32.0,10.8,L. Messi,Lionel Andrés Messi Cuccittini
34,187,83,Portugal,Al Nassr,405000,"ST, LW",90.0,93.0,82.0,89.0,35.0,78.0,83.0,87.4,86.8,89.2,74.83333333333333,28.0,11.6,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro
28,190,84,Spain,FC Barcelona,225000,"GK",45.0,20.0,50.0,20.0,15.0,60.0,28.0,15.0,42.0,68.0,70.0,15.0,91.0,M. ter Stegen,Marc-André ter Stegen
25,175,75,Brazil,FC Barcelona,180000,"CB",65.0,40.0,60.0,70.0,85.0,82.0,72.4,55.6,60.6,78.2,78.0,80.0,15.0,R. Araújo,Ronald Araújo
30,175,74,Spain,Real Madrid,385000,"CM, CAM",70.0,80.0,85.0,82.0,70.0,68.0,75.8,78.0,72.4,74.6,79.2,71.0,12.0,L. Modric,Luka Modric
29,180,78,Brazil,Real Madrid,320000,"ST, LW",90.0,87.0,80.0,86.0,45.0,68.0,81.0,84.0,88.0,70.4,76.2,28.0,12.0,V. Junior,Vinicius Junior
27,185,82,France,Real Madrid,250000,"CB, RB",75.0,55.0,68.0,60.0,85.0,84.0,74.4,65.5,70.6,75.2,78.8,85.0,15.0,F. Mendy,Ferland Mendy
23,175,72,Brazil,FC Barcelona,120000,"RW",88.0,82.0,84.0,90.0,40.0,70.0,84.8,81.6,87.6,78.2,72.5,32.0,11.6,Raphinha,Raphinha Dias Belloli
30,188,85,Spain,Real Madrid,245000,"GK",42.0,15.0,58.0,12.0,12.0,63.0,22.0,12.0,40.0,72.0,78.0,12.0,92.0,T. Courtois,Thibaut Courtois
24,170,68,Brazil,Real Madrid,110000,"CAM, RW",85.0,75.0,88.0,92.0,40.0,65.0,84.8,80.6,85.6,77.2,70.5,32.0,10.8,R. Rodrygo,Rodrygo Silva de Goes
26,180,80,Germany,Real Madrid,300000,"CM, CDM",60.0,72.0,89.0,78.0,72.0,75.0,79.6,68.6,64.6,80.2,85.5,78.0,15.0,T. Kroos,Toni Kroos
21,182,76,England,Manchester City,150000,"ST, LW",92.0,88.0,84.0,89.0,50.0,65.0,86.4,88.2,89.6,75.2,72.0,35.0,12.0,P. Foden,Phil Foden
30,190,88,Spain,Atletico Madrid,220000,"CB",55.0,40.0,65.0,62.0,88.0,86.0,71.6,50.6,60.0,82.4,79.0,86.0,15.0,S. Ramos,Sergio Ramos
28,185,82,Belgium,Chelsea FC,230000,"RW, CAM",87.0,82.0,80.0,90.0,35.0,65.0,83.8,80.0,85.6,70.4,72.0,30.0,12.0,E. Hazard,Eden Hazard
